"Lemma","Freq_in_cxn","Freq"
"battle",148,577746
"hangover",62,18482
"crisis",60,556466
"bubble",50,142649
"adventure",34,274370
"party",33,2127917
"problem",32,4765704
"war",32,1733735
"church",29,1322436
"headache",29,95519
"bailout",28,46997
"storm",28,246347
"bomb",27,239152
"site",25,3629658
"demo",22,111771
"evil",22,186792
"system",22,5260283
"theory",22,1051063
"trip",22,849031
"crash",21,210888
"book",20,4216872
"scandal",20,114916
"sin",20,360715
"virtue",20,196117
"festival",19,298468
"market",19,2428217
"recession",18,184076
"run",18,635445
"show",18,1613739
"deal",17,1120817
"engine",17,890733
"game",17,3627561
"question",17,3614728
"blog",16,873617
"issue",16,3875541
"city",15,2182009
"cock-up",15,2875
"democracy",15,349725
"mother",15,1159790
"boom",14,100080
"election",14,857044
"science",14,1283303
"event",13,2817449
"conflict",12,559033
"jam",12,69991
"job",12,2832107
"meltdown",12,24367
"network",12,1229692
"scam",12,76079
"comeback",11,37283
"day",11,8484568
"irony",11,79503
"lie",11,227656
"movie",11,1106208
"opportunity",11,2026453
"parade",11,83951
"scheme",11,890394
"strike",11,315254
"trade",11,814855
"film",10,2192482
"list",10,1772131
"program",10,2753536
"story",10,2173180
"tantrum",10,14725
"cold",9,108202
"conspiracy",9,142758
"disaster",9,314162
"fight",9,438673
"lawsuit",9,126192
"monad",9,10743
"row",9,334603
"sale",9,1358384
"struggle",9,371955
"argument",8,1067699
"case",8,4849558
"extinction",8,57634
"failure",8,693430
"law",8,2970638
"mandate",8,114832
"mess",8,179855
"project",8,2920737
"rally",8,115688
"risk",8,1640802
"smokescreen",8,5722
"vigil",8,16527
"art",7,1561601
"bill",7,913599
"budget",7,788931
"corruption",7,178092
"disease",7,958551
"hazard",7,122614
"line",7,2918192
"oxymoron",7,7227
"package",7,546778
"point",7,4569469
"race",7,980342
"reform",7,449287
"river",7,542138
"role",7,1942801
"squeeze",7,26124
"tank",7,488418
"thunderstorm",7,19060
"victory",7,386555
"attack",6,1010435
"campaign",6,1025257
"cliffhanger",6,5629
"conference",6,849905
"crime",6,831913
"crunch",6,43915
"depression",6,240027
"distraction",6,71026
"error",6,675806
"firewall",6,43252
"fuck-up",6,389
"idea",6,3222434
"invention",6,131000
"match",6,507459
"migraine",6,22445
"mistake",6,492038
"monster",6,170147
"pandemic",6,16943
"protest",6,293599
"religion",6,699888
"resolution",6,430357
"resource",6,1429502
"secret",6,266952
"store",6,867928
"thing",6,7692246
"wave",6,414144
"whore",6,21215
"album",5,643865
"backlash",5,29811
"call",5,1041311
"card",5,1252691
"collapse",5,161699
"collection",5,1023278
"database",5,503564
"distortion",5,66702
"fear",5,661936
"gift",5,556558
"holiday",5,701366
"hormone",5,104901
"injunction",5,51057
"mountain",5,453534
"nightmare",5,120716
"non-sequitur",5,1122
"park",5,666069
"rant",5,51084
"revolution",5,341641
"shitstorm",5,783
"spider",5,70777
"statement",5,1193356
"talk",5,759566
"tool",5,1274106
"trap",5,89373
"weapon",5,624499
"word",5,3094822
"abomination",4,16830
"bar",4,841077
"blizzard",4,11996
"blowout",4,7209
"bollocking",4,727
"broadband",4,125718
"bump",4,61436
"celebration",4,225438
"climb",4,55464
"cloud",4,366211
"coincidence",4,74615
"competition",4,686798
"cover-up",4,17992
"deception",4,51676
"derby",4,20239
"example",4,3290323
"exercise",4,578681
"fest",4,9988
"fit",4,247538
"force",4,1441727
"fundamentalism",4,17323
"hike",4,70084
"illness",4,326144
"investigation",4,569043
"joke",4,251361
"letdown",4,3884
"mall",4,64427
"mashup",4,3335
"mess-up",4,411
"moment",4,1507095
"page",4,2244788
"paradox",4,50103
"plan",4,2077978
"policy",4,2214601
"pothole",4,15950
"prank",4,16274
"puzzle",4,133097
"queue",4,97310
"recovery",4,334569
"reorganisation",4,12123
"ride",4,345184
"riot",4,94443
"sandwich",4,106354
"sauce",4,137879
"scare",4,33542
"set",4,1253824
"song",4,1130049
"stitch-up",4,638
"strategy",4,1000104
"study",4,2524668
"stunt",4,40438
"tale",4,269156
"technology",4,1692597
"test",4,1453453
"tip",4,498525
"toothache",4,4608
"tsunami",4,43533
"understatement",4,18994
"zone",4,346672
"action",3,2291328
"airport",3,333781
"amusement",3,45443
"backlog",3,21197
"ballgame",3,2596
"band",3,883506
"bashing",3,11621
"betrayal",3,37597
"binge",3,20139
"bitch",3,50605
"bonfire",3,18864
"boondoggle",3,2634
"bruise",3,21131
"burka",3,2638
"camera",3,844741
"cave",3,140914
"ceremony",3,240900
"challenge",3,976652
"circle",3,349976
"comet",3,59324
"company",3,4219869
"con",3,88773
"contest",3,184964
"convention",3,275106
"course",3,3917068
"crawl",3,19152
"cult",3,112641
"debate",3,744894
"debt",3,725919
"defeat",3,154704
"delusion",3,41480
"demos",3,4734
"denial",3,112260
"destination",3,250916
"device",3,1004035
"dilemma",3,83174
"disappointment",3,102895
"display",3,552757
"dispute",3,232753
"document",3,1084146
"effort",3,1590763
"elephant",3,91516
"ending",3,105844
"epic",3,111410
"episode",3,456506
"excuse",3,211850
"facepalm",3,577
"fair",3,75180
"fantasy",3,189877
"field",3,1774150
"flag",3,327187
"flood",3,181842
"form",3,2593352
"fraud",3,210809
"gamble",3,21737
"garden",3,771523
"garrison",3,20134
"herring",3,22307
"hill",3,321486
"hoax",3,27877
"hole",3,523770
"hug",3,40316
"illusion",3,111356
"index",3,260181
"infection",3,323468
"inquiry",3,219635
"insult",3,75143
"iron",3,247618
"language",3,1524438
"leak",3,99646
"lesson",3,560202
"license",3,297654
"link",3,1401112
"mortgage",3,384749
"movement",3,1127561
"museum",3,318991
"myth",3,198073
"nation",3,1070592
"operation",3,1077467
"organization",3,1121667
"pepper",3,91318
"phone",3,1351135
"picture",3,1390224
"plague",3,46161
"plane",3,383013
"plant",3,1143070
"play",3,861299
"prize",3,1
"process",3,2953827
"programme",3,1018141
"punch-up",3,1126
"pyramid",3,65547
"review",3,1323143
"rug",3,41438
"service",3,5296725
"session",3,756567
"shipwreck",3,10693
"shock",3,234892
"shot",3,668296
"spoiler",3,39069
"string",3,367861
"suit",3,293658
"surprise",3,362314
"tax",3,1237521
"thread",3,528257
"threat",3,631556
"twist",3,113702
"upset",3,25516
"week",3,4005095
"yoga",3,66786
"accident",2,451655
"acronym",2,25920
"act",2,903783
"agent",2,731588
"agreement",2,825615
"alert",2,73155
"alien",2,107068
"amp",2,121674
"APC",2,1413
"apology",2,133316
"app",2,100958
"application",2,2006190
"article",2,1997634
"ass",2,120330
"assumption",2,308674
"attraction",2,212867
"award",2,619816
"awesomeness",2,6126
"bag",2,544296
"bank",2,1227345
"basket",2,109531
"beauty",2,373430
"bias",2,159318
"blackout",2,18639
"blockbuster",2,18356
"bodge",2,NA
"boil",2,35055
"bombing",2,114064
"bonus",2,227362
"boost",2,98125
"boss",2,260994
"bot",2,24545
"boy",2,958043
"boycott",2,44892
"breakfast",2,354647
"breakup",2,14562
"broadcaster",2,57121
"brunch",2,13173
"bug",2,227105
"camp",2,463571
"car",2,2853424
"carrier",2,205877
"catalogue",2,102366
"catch-up",2,8177
"chart",2,263930
"chase",2,46297
"checklist",2,37797
"chilli",2,17198
"clean",2,NA
"code",2,1044269
"collaboration",2,282528
"complaint",2,505548
"complex",2,179661
"compound",2,146133
"compresser",2,74
"compromise",2,115728
"concession",2,78583
"confrontation",2,59889
"cop-out",2,3170
"corner",2,573649
"corporation",2,306830
"coverup",2,3243
"crab",2,42658
"crack",2,121117
"craving",2,30235
"cut",2,607014
"cycle",2,484448
"dance",2,372629
"debacle",2,23345
"decision",2,1930260
"deflation",2,20709
"delight",2,115979
"demonstration",2,230975
"department",2,729436
"desire",2,484598
"dessert",2,73858
"dictionary",2,80259
"divorce",2,158522
"dodo",2,3630
"downpour",2,10019
"downturn",2,48575
"dream",2,579428
"drought",2,82589
"dump",2,42083
"dust-up",2,869
"earmark",2,NA
"email",2,762871
"equation",2,160815
"essay",2,311604
"exchange",2,461558
"experience",2,3112293
"experiment",2,436124
"eye",2,1670707
"fall",2,514710
"fart",2,11427
"fascism",2,36486
"father",2,1097050
"feature",2,1341791
"fiesta",2,6614
"final",2,52530
"finale",2,45289
"flip-flop",2,5515
"flu",2,87146
"food",2,2424381
"fool",2,103112
"framework",2,385069
"garlic",2,68928
"gathering",2,128887
"genocide",2,64857
"glitch",2,27724
"grab",2,38131
"grievance",2,47523
"ground",2,1427167
"group",2,4082803
"habit",2,275836
"hairball",2,1556
"hat",2,213810
"helter-skelter",2,356
"heresy",2,29822
"history",2,2389008
"hoo-hah",2,371
"hood",2,60908
"horror",2,222592
"house",2,2419875
"hurricane",2,61541
"hyperinflation",2,6541
"hypocrisy",2,43518
"institution",2,769238
"instrument",2,421053
"interview",2,740088
"isopod",2,676
"kick",2,128027
"KPI",2,13
"launch",2,253063
"letter",2,1302032
"library",2,769194
"look",2,1229713
"man",2,5296581
"manual",2,123548
"medium",2,1600156
"meet",2,42284
"megamover",2,NA
"memoir",2,56033
"miscalculation",2,4817
"misfortune",2,35222
"mod",2,56808
"monsoon",2,12781
"muck-up",2,55
"muse",2,17512
"musical",2,47645
"name",2,3157412
"nap",2,27309
"narrative",2,224165
"needle",2,108714
"object",2,1049923
"ocean",2,250483
"omission",2,52718
"op",2,44127
"optimization",2,53982
"outfit",2,96872
"pander",2,NA
"panic",2,106325
"paper",2,1736757
"parasite",2,57685
"period",2,1861604
"photo",2,955072
"piece",2,1455918
"piss-up",2,275
"pleasure",2,350326
"poll",2,230039
"president",2,691318
"principle",2,858449
"profile",2,401055
"promise",2,308762
"raingear",2,211
"record",2,1719467
"regulation",2,664690
"relationship",2,1503438
"report",2,2240605
"restoration",2,136187
"ribbon",2,58380
"rigging",2,9749
"right",2,3258788
"rip-off",2,9219
"road",2,1646912
"robot",2,129165
"rollercoaster",2,8671
"rumor",2,71540
"saga",2,37879
"sandstorm",2,2047
"scene",2,923399
"school",2,4202653
"scramble",2,13628
"screen",2,856251
"sell-out",2,8258
"sentence",2,440439
"setback",2,34282
"settlement",2,301010
"shocker",2,7527
"showdown",2,15918
"sinkhole",2,5145
"sinner",2,62820
"sitcom",2,21990
"sleep",2,250851
"slip",2,62689
"society",2,1325576
"solution",2,1298902
"spill",2,52804
"split",2,130163
"spreadsheet",2,56359
"state",2,3715915
"stick",2,188383
"stoppage",2,12387
"sub",2,104198
"sulk",2,1831
"superstition",2,28435
"take",2,101435
"target",2,768033
"tattoo",2,49431
"telescope",2,78768
"temple",2,189191
"terrorism",2,173274
"thriller",2,57326
"tirade",2,8556
"tour",2,541106
"tournament",2,181889
"track",2,929972
"tragedy",2,149375
"translation",2,331753
"trial",2,777998
"triangle",2,73031
"trick",2,236354
"truck",2,241934
"trust",2,436580
"truth",2,973427
"turd",2,7187
"u-turn",2,NA
"unit",2,1175510
"venture",2,166376
"vice",2,13138
"virus",2,246503
"wall",2,967701
"water",2,2930643
"waterfall",2,41422
"website",2,1399587
"wedding",2,373060
"whoredom",2,756
"wiki",2,7880
"workout",2,81114
"workshop",2,416293
"wreck",2,42177
"ab",1,NA
"accelerator",1,25388
"accent",1,95848
"achievement",1,355966
"activity",1,2063222
"ad",1,496761
"ADHD",1,27685
"advantage",1,779466
"adware",1,3832
"afro",1,1667
"age",1,1797451
"agency",1,955328
"agenda",1,342955
"aggregator",1,6840
"algorithm",1,178150
"alibi",1,6886
"altercation",1,7404
"ambush",1,14940
"anger",1,199651
"announcement",1,231829
"annoyance",1,28967
"anomaly",1,55317
"anticlimax",1,1290
"anticyclone",1,609
"AO",1,328
"approach",1,1462758
"aquarium",1,42771
"arch",1,55320
"archive",1,116250
"archives",1,92846
"artifacting",1,418
"assembly",1,216250
"association",1,419027
"attainment",1,45368
"attempt",1,760642
"auction",1,126835
"audio",1,87233
"author",1,1218573
"average",1,358804
"axiom",1,22783
"axis",1,86465
"backburn",1,7
"backlist",1,1802
"bajada",1,48
"balance",1,549348
"ball",1,721486
"ballpark",1,10282
"bang",1,58923
"bankruptcy",1,102803
"banquet",1,28382
"barrel",1,129326
"bash",1,15335
"basilica",1,5093
"bastion",1,13822
"battering",1,104
"bazaar",1,8910
"beach",1,478935
"beamprop",1,NA
"beanstalk",1,876
"beatboxer",1,171
"beatdown",1,646
"beginning",1,625533
"belt",1,187672
"bench",1,138789
"bender",1,5070
"betta",1,4102
"beverage",1,64261
"bible",1,39972
"Biennale",1,1770
"biennial",1,2022
"bigot",1,19604
"bike",1,429560
"birdie",1,19730
"birthday",1,252338
"birther",1,1388
"biteback",1,15
"bitemark",1,29
"blast",1,93264
"bleed",1,NA
"blessing",1,144392
"blister",1,18129
"block",1,537311
"blocker",1,14113
"blow",1,148196
"blowback",1,3460
"blower",1,17045
"blowjob",1,1331
"blunder",1,17908
"board",1,1115799
"bond",1,333727
"bone",1,321606
"boner",1,1741
"booksigning",1,225
"boom-and-bust",1,484
"boundary",1,315862
"boy-toy",1,146
"brain-teaser",1,169
"brainfade",1,7
"brand",1,691403
"branding",1,NA
"breach",1,155313
"breakdown",1,107036
"breakout",1,17707
"breakthrough",1,67666
"bridge",1,385447
"brief",1,109724
"briefing",1,71830
"browser",1,313703
"buffet",1,50656
"builder",1,110149
"building",1,1734818
"bulb",1,124799
"bully",1,42211
"bun",1,24960
"burger",1,56244
"burn",1,73559
"burrito",1,7135
"bush",1,85987
"bust",1,51422
"but",1,14912
"buyer",1,268508
"by-election",1,13317
"cacophony",1,6104
"cage",1,97755
"cake",1,233279
"calamity",1,21308
"calendar",1,183976
"calling",1,54375
"cameltoe",1,55
"can",1,175713
"candidate",1,716013
"cankle",1,11
"cap",1,218801
"capitalism",1,154716
"capsule",1,46235
"carbuncle",1,1323
"carnival",1,29028
"cartel",1,29532
"carve-up",1,392
"casserole",1,11864
"cataclysm",1,5671
"catastrophe",1,50750
"categorical",1,NA
"catfight",1,571
"catfish",1,13168
"cauldron",1,9297
"cause",1,895350
"caveat",1,33392
"celebrity",1,155330
"centre",1,1036799
"chain",1,399181
"chair",1,515546
"chant",1,27492
"chaos",1,112767
"Chardonnay",1,NA
"charger",1,34695
"charity",1,427075
"chick",1,52887
"chile",1,7920
"chiller",1,5714
"chily",1,2160
"chinook",1,2397
"chip",1,277818
"chipper",1,1571
"chocolate",1,218632
"choice",1,1471587
"choke",1,14924
"chord",1,61597
"claim",1,1098223
"clamp",1,13026
"clash",1,79364
"class",1,2067493
"clean-up",1,6013
"cleaner",1,71524
"cleanse",1,NA
"cleansing",1,31703
"clear-cutter",1,NA
"client",1,1288547
"climax",1,37507
"club",1,1024712
"clusterfuck",1,864
"clutter",1,20364
"coalition",1,174452
"cocktail",1,80147
"collectible",1,5321
"color",1,702864
"column",1,409932
"comb-over",1,346
"combination",1,502779
"comedy",1,223250
"comeuppance",1,2566
"comic",1,127335
"commentary",1,182036
"commercial",1,69509
"committee",1,649117
"commodity",1,139698
"communism",1,61352
"community",1,2932355
"compiler",1,64299
"complementary",1,NA
"component",1,607752
"computer",1,1387323
"concept",1,886166
"concern",1,1161298
"concert",1,245194
"concussion",1,15741
"condiment",1,6724
"condition",1,1849891
"conduit",1,22598
"conflagration",1,5923
"conglomerate",1,15993
"connection",1,861807
"consequence",1,538243
"console",1,127150
"constraint",1,154600
"contagion",1,9215
"content",1,1195359
"context",1,774919
"contract",1,937276
"contradiction",1,94891
"control",1,1912499
"controller",1,136497
"controversy",1,149243
"conundrum",1,14861
"conversation",1,574894
"cookbook",1,29680
"cookware",1,5238
"core",1,329895
"correction",1,128033
"correctness",1,33395
"coverage",1,407680
"cow",1,152859
"crackdown",1,21559
"cramp",1,17033
"crane",1,37619
"crazy",1,3817
"creation",1,506144
"creator",1,174710
"critic",1,286287
"cropper",1,1959
"crosse",1,28314
"crossover",1,31259
"crossword",1,9855
"crowd",1,417911
"cruise",1,109370
