word,Freq_encow
40,916964
51,116148
98,95656
a-levels,9465
aa+,253
aaa,29550
abbeydale,4699
abnormal,50794
abnormality,9553
abolitionist,6281
abortion,169519
abstinance,136
abstinence,17171
abuse,449435
academy,314170
acceptance,165730
access,1962533
accessible,304892
accountability,125498
accountancy,25135
acquisition,152959
act,1975269
actual,712040
add,1392105
adobe,100199
advertising,374061
aerosols,10619
aesthetics,43456
affection,69513
affluence,7487
afg-pak,2
afghan,69610
afghanistan,248884
afgpak,1
afr,2476
africa,588080
african-americans,14660
africanamericans,22
afternoon,437887
age,1704913
agents,390165
aggression,75496
aid,548526
airline,84965
airlines,94310
airsoft,7560
ajax,29469
alaska,116202
album,550294
alchemy,17118
alcohol,348584
alcoholic,49823
aldomania,47
alevels,139
alexandria,35218
algorithm,107079
alien,152541
allagents,138
aloeminium,5
alpha,100609
aluminium,58093
aluminum,55624
amazon,205597
ambiguity,38923
america,1280315
american,2219377
amish,18937
amsterdam,55953
analysis,1039751
analytics,71751
anarchy,26776
android,194893
angel,178091
angry,245757
angst,18557
animosity,12483
antarctica,30479
anti-americanism,3721
anti-christianity,172
anti-communism,1692
anti-doping,3189
anti-fascism,1086
anti-feminism,250
anti-glamour,16
anti-semitism,36338
anti-terrorism,7778
anti-zionism,2542
anticommunism,324
antidoping,62
antifacism,3
antifascism,150
antifeminism,79
antiracism,247
antisemitism,11798
antizionism,62
anxiety,182601
anything,2298445
aol,32422
aoltv,26
apis,31854
app,379590
apple,563414
application,1289879
appple,38
april,981654
arab,221753
arab-american,1034
arabia,81217
archaeology,75336
architecture,309254
argentina,82399
argonaut,942
aristocracy,18365
arizona,147472
arkansas,57843
arla,3215
arm,368446
armor,49474
army,724190
arrogance,42943
arsenal,143423
art,1584220
artisanal,4047
artist,472479
asa,27772
asbestos,50325
ascension,23611
asia,285920
asian,247060
asparagus,16815
assertiveness,4749
assessor,19888
assistant,341159
association,899915
astronomy,64842
atheism,38336
atheist,58626
athens,66471
athletic,84725
atlantis,22754
atm,35964
atoms,65175
attention,1107102
attorney,284340
audience,698308
audio,348742
august,748379
austerity,54701
austin,121170
australia,465793
authenticity,50695
autobiography,38213
avalanche,17580
avenger,6908
average,985256
awake,69132
awkward,88565
b,1551919
b(a),179
b+,2312
b+aa,1
b+ax,1
b-aa,11
b-ab,3
b-ac,5
b-ad,7
b-ae,13
b-af,2
b-ag,1
b-ah,3
b-al,1
b-an,3
b-ar,1
b-as,8
b-at,4
b-av,4
b-aw,1
b-ax,1
b-ay,2
b-word,220
b.a.,20448
b.ac,2
b.ae,5
b.al,4
b.an,2
b.as,6
b.at,5
b.ay,7
b[a],3
b^a$,1
b_ab,1
b_ac,1
b_at,1
ba,92217
baaa,133
baab,125
baac,40
baad,310
baae,4
baaf,885
baag,90
baah,121
baai,39
baaj,9
baak,109
baal,8594
baam,90
baan,790
baap,105
baar,333
baas,3466
baat,368
baau,6
baav,4
baax,1
baay,12
baaz,128
babe,24012
baby,680608
babylon,38931
bachelor,73541
bachelors,9933
back,7081252
backlink,2357
backloading,155
backyard,42979
bacon,91685
bad,1826643
bagel,5970
bagram,3908
bahru,464
bald,33578
balham,1886
bali,21570
balsemic,4
bama,3034
banana,52722
bands,220614
bangkok,26475
bank,1137505
banker,37655
bar,763996
barbarian,11976
barbel,6743
barefoot,17467
barnsley,19910
baron,41509
barrel,85723
base,867295
baseball,139010
bashing,23726
basic,943218
bbaa,94
bbab,13
bbac,35
bbad,27
bbae,1
bbaf,12
bbag,9
bbah,2
bbai,21
bbaj,5
bbak,9
bbal,1
