word,lemma
90s,90s
degrees,degree
supervisors,supervisor
aa+,aa\+
democrats,democrat
horse,horse
pregnancy,pregnancy
transparency,transparency
plumbing,plumbing
retention,retention
virtual,virtual
spd,spd
apple,apple
content,content
pr,pr
recommendations,recommendation
selfies,selfie
service,service
functionality,functionality
links,link
pakistan,pakistan
arab-americans,arab-american
assertiveness,assertiveness
tax,tax
universities,university
hotels,hotel
arsenal,arsenal
hamas,hamas
pensions,pension
cooking,cooking
junkies,junkie
fever,fever
internet,internet
max,max
zombies,zombie
magnets,magnets
china,china
idealism,idealism
myth,myth
environmentalists,environmentalist
portugal,portugal
swansea,swansea
mouth,mouth
sarcasm,sarcasm
doll-art,doll-art
hope,hope
hangover,hangover
utah,utah
campaign,campaign
anti-terrorism,anti-terrorism
gathering,gathering
anti-americanism,anti-americanism
anti-christianity,anti-christianity
anti-zionism,anti-zionism
government,government
islamophobia,islamophobia
antizionism,antizionism
facebook,facebook
experiences,experience
angry,angry
consoles,console
glass,glass
medizine,medicine
apps,app
htc,htc
engineering,engineering
jacket,jacket
gap,gap
brazil,brazil
latvia,latvia
entrepreneurs,entrepreneur
ceos,ceos
virginia,virginia
alaska,alaska
allagents,allagents
cotton,cotton
spurs,spur
cinema,cinema
games,games
politics,politics
science,science
curators,curator
bloggers,blogger
dairy,dairy
meat,meat
mould,mould
arabs,arab
okra,okra
america,america
flabby,flabby
conversation,conversation
bolshevism,bolshevism
september,september
sleep,sleep
c,c
c-word,c-word
culture,culture
degree,degree
masters,masters
relationships,relationship
sharing,sharing
forums,forums
bourbon,bourbon
burritos,burrito
neck,neck
peeps,peeps
pumpkin,pumpkin
sriracha,sriracha
stress,stress
liberalism,liberalism
men,men
slippers,slipper
roll,roll
americans,american
developers,developer
terrorists,terrorist
zionists,zionist
shoes,shoe
ponchos,poncho
python,python
computing,computing
rpi,rpi
sledding,sledding
beardism,beardism
smiths,smiths
normal,normal
ugly,ugly
sov,sov
kitchens,kitchen
rabbit,rabbit
black,black
turks,turk
beijing,beijing
detroit,detroit
alpha,alpha
dvcs,dvcs
phone,phone
crotch,crotch
small,small
hijab,hijab
trillions,trillion
trinity,trinity
observation,observation
atoms,atoms
dull,dull
clothing,clothing
accountability,accountability
advertising,advertising
airsoft,airsoft
algorithms,algorithm
aloeminium,aloeminium
ambiguity,ambiguity
analytics,analytics
anti-semitism,anti-?semitism
atheism,atheism
audio,audio
austerity,austerity
average,average
balsemic,balsemic
basic,basic
